Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
49691,11413.130000000001,186648.56,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Block Storage,Asia Pacific (Singapore),NeonMQ,Amazon Elastic Block Store (EBS),0,28.8,345.60,USD,"Number of volumes (3), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (No snapshot storage), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Block Storage,Asia Pacific (Singapore),PowerBi GW,Amazon Elastic Block Store (EBS),0,9.6,115.20,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (No snapshot storage), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Block Storage,Asia Pacific (Singapore),AD,Amazon Elastic Block Store (EBS),0,9.6,115.20,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (No snapshot storage), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Block Storage,Asia Pacific (Singapore),DB Volume,Amazon Elastic Block Store (EBS),0,48,576.00,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (500 GB), Snapshot Frequency (No snapshot storage), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Block Storage,Asia Pacific (Singapore),Logging volume,Amazon Elastic Block Store (EBS),0,9.6,115.20,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (No snapshot storage), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Block Storage,Asia Pacific (Singapore),Monitoring volume,Amazon Elastic Block Store (EBS),0,9.6,115.20,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (No snapshot storage), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),IIS Application,Amazon EC2 ,3374,281.12,6747.44,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r7i.xlarge), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),Floor Fabric,Amazon EC2 ,5061,421.68,10121.16,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 3), Advance EC2 instance (r7i.xlarge), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),Neon MQ,Amazon EC2 ,2253,187.66,4504.92,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 3), Advance EC2 instance (m7i.large), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),Load Balancer,Amazon EC2 ,751,62.55,1501.60,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m7i.large), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),PowerBI Gateway,Amazon EC2 ,2751,229.29,5502.48,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c7i.2xlarge), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),AD,Amazon EC2 ,2751,229.29,5502.48,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c7i.2xlarge), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),DB NeonCRM,Amazon EC2 ,15156,1263.05,30312.60,USD,"Tenancy (Shared Instances), Operating system (Windows Server with SQL Server Standard), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r7i.2xlarge), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),DB NeonCMS,Amazon EC2 ,15156,1263.05,30312.60,USD,"Tenancy (Shared Instances), Operating system (Windows Server with SQL Server Standard), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r7i.2xlarge), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),Logging,Amazon EC2 ,1687,140.56,3373.72,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r7i.xlarge), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Server,Asia Pacific (Singapore),Monitoring,Amazon EC2 ,751,62.55,1501.60,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m7i.large), Pricing strategy (Standard Reserved Instances 1yr Partial Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Network,Asia Pacific (Singapore),Network,Network Address Translation (NAT) Gateway,0,43.66,523.92,USD,Number of NAT Gateways (1)
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > DNS,Asia Pacific (Singapore),DNS,Amazon Route 53,0,182.9,2194.80,USD,Number of Elastic Network Interfaces (2)
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),IIS Application,Amazon Elastic Block Store (EBS),0,175.95,2111.40,USD,"Number of volumes (2), Average duration each instance runs (730 hours per month), Storage amount per volume (600 GB), Snapshot Frequency (Daily), Provisioning IOPS per volume (gp3) (3000), Amount changed per snapshot (0.5 GB), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),Floor Fabric,Amazon Elastic Block Store (EBS),0,88.73,1064.76,USD,"Number of volumes (3), Average duration each instance runs (730 hours per month), Storage amount per volume (200 GB), Snapshot Frequency (Daily), Provisioning IOPS per volume (gp3) (3000), Amount changed per snapshot (0.5 GB), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),Load Balancer,Amazon Elastic Block Store (EBS),0,14.98,179.76,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (Daily), Provisioning IOPS per volume (gp3) (3000), Amount changed per snapshot (0.5 GB), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),NeonMQ,Amazon Elastic Block Store (EBS),0,44.93,539.16,USD,"Number of volumes (3), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (Daily), Provisioning IOPS per volume (gp3) (3000), Amount changed per snapshot (0.5 GB), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),PowerBI GW,Amazon Elastic Block Store (EBS),0,14.98,179.76,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (Daily), Provisioning IOPS per volume (gp3) (3000), Amount changed per snapshot (0.5 GB), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),AD,Amazon Elastic Block Store (EBS),0,14.98,179.76,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (Daily), Provisioning IOPS per volume (gp3) (3000), Amount changed per snapshot (0.5 GB), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),DB NeonCRM volume,Amazon Elastic Block Store (EBS),0,170.75,2049.00,USD,"Number of volumes (2), Average duration each instance runs (730 hours per month), Storage amount per volume (500 GB), Snapshot Frequency (Daily), Amount changed per snapshot (0.5 GB)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),DB NeonCMS volume,Amazon Elastic Block Store (EBS),0,170.75,2049.00,USD,"Number of volumes (2), Average duration each instance runs (730 hours per month), Storage amount per volume (500 GB), Snapshot Frequency (Daily), Amount changed per snapshot (0.5 GB)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),Logging,Amazon Elastic Block Store (EBS),0,14.98,179.76,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (Daily), Amount changed per snapshot (0.5 GB), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Prod > Block Storage,Asia Pacific (Singapore),Monitoring,Amazon Elastic Block Store (EBS),0,14.98,179.76,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (Daily), Provisioning IOPS per volume (gp3) (3000), Amount changed per snapshot (0.5 GB), General Purpose SSD (gp3) - Throughput (125 MBps)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Security,Asia Pacific (Singapore),Detect vulnerabilities and unintended network exposure,Amazon Inspector,0,10,120.00,USD,Average* No. of EC2 instances scanned per month (8)
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Security,Asia Pacific (Singapore),Threats detection,Amazon GuardDuty,0,25.27,303.24,USD,"EC2 VPC Flow Log Analysis (5 GB per month), RDS provisioned instance vCPU (16 per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Security,Asia Pacific (Singapore),Key Managerment,AWS Key Management Service,0,11,132.00,USD,"Number of customer managed Customer Master Keys (CMK) (5), Number of symmetric requests (2000000)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Security,Asia Pacific (Singapore),Credentials Management,AWS Secrets Manager,0,9,108.00,USD,"Number of secrets (10), Average duration of each secret (30 days), Number of API calls (1 million per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Security,Asia Pacific (Singapore),Security posture management,AWS Security Hub,0,0.2,2.40,USD,"Number of Accounts (2), Number of Security Checks per Account (100), Number of Finding Ingested per Account (100)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Network,Asia Pacific (Singapore),Transit GW,VPN Connection,0,36.5,438.00,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (0)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Network,Asia Pacific (Singapore),Transit GW,Transit Gateway,0,106.2,1274.40,USD,Number of Transit Gateway attachments (2)
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Logging-Monitoring,Asia Pacific (Singapore),Notification,Standard topics,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), Requests (1 million per month), HTTP/HTTPS Notifications (200 per month), EMAIL/EMAIL-JSON Notifications (200 per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Logging-Monitoring,Asia Pacific (Singapore),Monitoring,Amazon CloudWatch,0,6.52,78.24,USD,"Number of Metrics (includes detailed and custom metrics) (10), Standard Logs: Data Ingested (5 GB)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Logging-Monitoring,Asia Pacific (Singapore),Log tracking,AWS CloudTrail,0,1,12.00,USD,"Management events units (millions), Write management trails (1), Read management trails (1), Data events units (millions), S3 trails (1), Lambda trails (1), Insight events units (millions), Trails with Insight events (1), Write management events (1000000 per month), Read management events (1000000 per month), S3 operations (1 per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Log Archive,Asia Pacific (Singapore),Log Archive,S3 Standard,0,12.5,150.00,USD,S3 Standard storage (500 GB per month)
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > Audit,Asia Pacific (Singapore),Audit Service,AWS Config,0,4,48.00,USD,"Number of Continuous Configuration items recorded (1000), Number of Config rule evaluations (1000)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
